sku_id,forecast_date,day_ahead,predicted_demand,model_used,model_mae,product_name,category,unit_price,predicted_revenue
2083201,2026-01-01,1,7.77,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,355.01129999999995
2083201,2026-01-02,2,5.75,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,262.7175
2083201,2026-01-03,3,4.16,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,190.0704
2083201,2026-01-04,4,4.2,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,191.898
2083201,2026-01-05,5,5.84,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,266.82959999999997
2083201,2026-01-06,6,7.85,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,358.6665
2083201,2026-01-07,7,8.71,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,397.9599
2083201,2026-01-08,8,7.78,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,355.46819999999997
2083201,2026-01-09,9,5.76,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,263.1744
2083201,2026-01-10,10,4.17,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,190.5273
2083201,2026-01-11,11,4.21,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,192.3549
2083201,2026-01-12,12,5.85,linear_regression,2.94,"Trademark Fine Art ''Wyoming Meadowlark'' by Design Turnpike 18"" x 18"" Canvas Art (ALI1254-C1818GG)",Office Supplies,45.69,267.2865
